"REF_DATE","GEO","DGUID","Industry","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","840500.3","","","","1"
"1998","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","870794.2","","","","1"
"1999","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","933723.1","","","","1"
"2000","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1027448.3","","","","1"
"2001","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1065640.9","","","","1"
"2002","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1105074.3","","","","1"
"2003","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1165456.2","","","","1"
"2004","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1241733.1","","","","1"
"2005","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1323864.8","","","","1"
"2006","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1395881.2","","","","1"
"2007","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1473053.4","","","","1"
"2008","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1555044.5","","","","1"
"2009","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1469118.4","","","","1"
"2010","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1559048.7","","","","1"
"2011","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1662353.6","","","","1"
"2012","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1710432.7","","","","1"
"2013","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1781930.3","","","","1"
"2014","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1867752.2","","","","1"
"2015","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1856814.4","","","","1"
"2016","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1886103.4","","","","1"
"2017","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","1991533.8","","","","1"
"2018","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","2083378.6","","","","1"
"2019","Canada","2016A000011124","Total industries","Dollars","81","millions","6","v64598657","1.1","2161923.9","","","","1"
"1997","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","9588.2","","","","1"
"1998","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","10084.8","","","","1"
"1999","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","11047.6","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","12787.5","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","13024.5","","","","1"
"2002","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","15207.1","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","16788.3","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","17993.2","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","20542.8","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","22864.8","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","27371.6","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","29889.1","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","23244.6","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","27183.0","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","31614.0","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","29977.1","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","32403.8","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","32136.7","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","28924.4","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Total industries","Dollars","81","millions","6","v64599916","2.1","29005.2","","","","1"
