"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971/1972","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","351256","","","","0"
"1971/1972","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","159533","","","","0"
"1971/1972","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","117036","","","","0"
"1971/1972","Canada","2016A000011124","Net emigration","Persons","249","units","0","v1566834743","1.13","26577","","","","0"
"1971/1972","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29768526","1.9","66034","","","","0"
"1971/1972","Canada","2016A000011124","Returning emigrants","Persons","249","units","0","v29768527","1.10","39457","","","","0"
"1971/1972","Canada","2016A000011124","Net non-permanent residents","Persons","249","units","0","v29768529","1.12","2997","","","","0"
"1971/1972","Canada","2016A000011124","Residual deviation","Persons","249","units","0","v53437072","1.8","-28748","","","","0"
"1971/1972","Newfoundland and Labrador","2016A000210","Births","Persons","249","units","0","v391070","2.1","12746","","","","0"
"1971/1972","Newfoundland and Labrador","2016A000210","Deaths","Persons","249","units","0","v391085","2.2","3269","","","","0"
"1971/1972","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units","0","v391100","2.3","729","","","","0"
"1971/1972","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834744","2.13","175","","","","0"
"1971/1972","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29768530","2.9","441","","","","0"
"1971/1972","Newfoundland and Labrador","2016A000210","Returning emigrants","Persons","249","units","0","v29768531","2.10","266","","","","0"
"1971/1972","Newfoundland and Labrador","2016A000210","Net non-permanent residents","Persons","249","units","0","v29768533","2.12","34","","","","0"
"1971/1972","Newfoundland and Labrador","2016A000210","Net interprovincial migration","Persons","249","units","0","v391129","2.5","864","","","","0"
"1971/1972","Newfoundland and Labrador","2016A000210","Residual deviation","Persons","249","units","0","v53437073","2.8","-2659","","","","0"
"1971/1972","Prince Edward Island","2016A000211","Births","Persons","249","units","0","v391076","3.1","2038","","","","0"
"1971/1972","Prince Edward Island","2016A000211","Deaths","Persons","249","units","0","v391091","3.2","1010","","","","0"
"1971/1972","Prince Edward Island","2016A000211","Immigrants","Persons","249","units","0","v391106","3.3","174","","","","0"
"1971/1972","Prince Edward Island","2016A000211","Net emigration","Persons","249","units","0","v1566834745","3.13","43","","","","0"
"1971/1972","Prince Edward Island","2016A000211","Emigrants","Persons","249","units","0","v29768534","3.9","108","","","","0"
"1971/1972","Prince Edward Island","2016A000211","Returning emigrants","Persons","249","units","0","v29768535","3.10","65","","","","0"
"1971/1972","Prince Edward Island","2016A000211","Net non-permanent residents","Persons","249","units","0","v29768537","3.12","3","","","","0"
"1971/1972","Prince Edward Island","2016A000211","Net interprovincial migration","Persons","249","units","0","v391135","3.5","349","","","","0"
"1971/1972","Prince Edward Island","2016A000211","Residual deviation","Persons","249","units","0","v53437074","3.8","-642","","","","0"
"1971/1972","Nova Scotia","2016A000212","Births","Persons","249","units","0","v391077","4.1","13889","","","","0"
"1971/1972","Nova Scotia","2016A000212","Deaths","Persons","249","units","0","v391092","4.2","6798","","","","0"
"1971/1972","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v391107","4.3","1709","","","","0"
"1971/1972","Nova Scotia","2016A000212","Net emigration","Persons","249","units","0","v1566834746","4.13","242","","","","0"
"1971/1972","Nova Scotia","2016A000212","Emigrants","Persons","249","units","0","v29768538","4.9","618","","","","0"
"1971/1972","Nova Scotia","2016A000212","Returning emigrants","Persons","249","units","0","v29768539","4.10","376","","","","0"
"1971/1972","Nova Scotia","2016A000212","Net non-permanent residents","Persons","249","units","0","v29768541","4.12","36","","","","0"
"1971/1972","Nova Scotia","2016A000212","Net interprovincial migration","Persons","249","units","0","v391136","4.5","-586","","","","0"
"1971/1972","Nova Scotia","2016A000212","Residual deviation","Persons","249","units","0","v53437075","4.8","-3047","","","","0"
"1971/1972","New Brunswick","2016A000213","Births","Persons","249","units","0","v391078","5.1","12047","","","","0"
"1971/1972","New Brunswick","2016A000213","Deaths","Persons","249","units","0","v391093","5.2","5000","","","","0"
"1971/1972","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v391108","5.3","1081","","","","0"
"1971/1972","New Brunswick","2016A000213","Net emigration","Persons","249","units","0","v1566834747","5.13","436","","","","0"
"1971/1972","New Brunswick","2016A000213","Emigrants","Persons","249","units","0","v29768542","5.9","1121","","","","0"
"1971/1972","New Brunswick","2016A000213","Returning emigrants","Persons","249","units","0","v29768543","5.10","685","","","","0"
"1971/1972","New Brunswick","2016A000213","Net non-permanent residents","Persons","249","units","0","v29768545","5.12","43","","","","0"
"1971/1972","New Brunswick","2016A000213","Net interprovincial migration","Persons","249","units","0","v391137","5.5","384","","","","0"
"1971/1972","New Brunswick","2016A000213","Residual deviation","Persons","249","units","0","v53437076","5.8","-1821","","","","0"
"1971/1972","Quebec","2016A000224","Births","Persons","249","units","0","v391079","6.1","85568","","","","0"
"1971/1972","Quebec","2016A000224","Deaths","Persons","249","units","0","v391094","6.2","41352","","","","0"
"1971/1972","Quebec","2016A000224","Immigrants","Persons","249","units","0","v391109","6.3","17690","","","","0"
"1971/1972","Quebec","2016A000224","Net emigration","Persons","249","units","0","v1566834748","6.13","4460","","","","0"
"1971/1972","Quebec","2016A000224","Emigrants","Persons","249","units","0","v29768546","6.9","11539","","","","0"
"1971/1972","Quebec","2016A000224","Returning emigrants","Persons","249","units","0","v29768547","6.10","7079","","","","0"
"1971/1972","Quebec","2016A000224","Net non-permanent residents","Persons","249","units","0","v29768549","6.12","695","","","","0"
"1971/1972","Quebec","2016A000224","Net interprovincial migration","Persons","249","units","0","v391138","6.5","-21637","","","","0"
"1971/1972","Quebec","2016A000224","Residual deviation","Persons","249","units","0","v53437077","6.8","407","","","","0"
"1971/1972","Ontario","2016A000235","Births","Persons","249","units","0","v391080","7.1","126254","","","","0"
"1971/1972","Ontario","2016A000235","Deaths","Persons","249","units","0","v391095","7.2","57571","","","","0"
"1971/1972","Ontario","2016A000235","Immigrants","Persons","249","units","0","v391110","7.3","62258","","","","0"
"1971/1972","Ontario","2016A000235","Net emigration","Persons","249","units","0","v1566834749","7.13","12863","","","","0"
"1971/1972","Ontario","2016A000235","Emigrants","Persons","249","units","0","v29768550","7.9","31687","","","","0"
"1971/1972","Ontario","2016A000235","Returning emigrants","Persons","249","units","0","v29768551","7.10","18824","","","","0"
"1971/1972","Ontario","2016A000235","Net non-permanent residents","Persons","249","units","0","v29768553","7.12","1499","","","","0"
"1971/1972","Ontario","2016A000235","Net interprovincial migration","Persons","249","units","0","v391139","7.5","14462","","","","0"
"1971/1972","Ontario","2016A000235","Residual deviation","Persons","249","units","0","v53437078","7.8","-19949","","","","0"
