date,province,producer,generation_type,megawatt_hours
2008-01,Alberta,electric utilities,combustible fuels,4671109.0
2008-01,Alberta,electric utilities,hydraulic turbine,135167.0
2008-01,Alberta,electric utilities,other types of electricity generation,0.0
2008-01,Alberta,electric utilities,wind power turbine,6976.0
2008-01,Alberta,industries,combustible fuels,524988.0
2008-01,British Columbia,electric utilities,combustible fuels,471162.0
2008-01,British Columbia,electric utilities,hydraulic turbine,5266521.0
2008-01,British Columbia,industries,combustible fuels,271655.0
2008-01,British Columbia,industries,hydraulic turbine,856714.0
2008-01,Manitoba,electric utilities,combustible fuels,47762.0
2008-01,Manitoba,electric utilities,hydraulic turbine,3056778.0
2008-01,Manitoba,electric utilities,wind power turbine,0.0
2008-01,Manitoba,industries,combustible fuels,11747.0
2008-01,New Brunswick,electric utilities,combustible fuels,963786.0
2008-01,New Brunswick,electric utilities,hydraulic turbine,285671.0
2008-01,New Brunswick,electric utilities,nuclear steam turbine,407950.0
2008-01,New Brunswick,electric utilities,wind power turbine,0.0
2008-01,New Brunswick,industries,combustible fuels,53409.0
2008-01,New Brunswick,industries,hydraulic turbine,0.0
2008-01,Newfoundland and Labrador,electric utilities,combustible fuels,212329.0
2008-01,Newfoundland and Labrador,electric utilities,hydraulic turbine,4565355.0
2008-01,Newfoundland and Labrador,electric utilities,wind power turbine,0.0
2008-01,Newfoundland and Labrador,industries,combustible fuels,23834.0
2008-01,Newfoundland and Labrador,industries,hydraulic turbine,58577.0
2008-01,Northwest Territories,electric utilities,combustible fuels,7962.0
2008-01,Northwest Territories,electric utilities,hydraulic turbine,21577.0
2008-01,Northwest Territories,industries,combustible fuels,33928.0
2008-01,Northwest Territories,industries,hydraulic turbine,0.0
2008-01,Northwest Territories,industries,wind power turbine,0.0
2008-01,Nova Scotia,electric utilities,combustible fuels,1048311.0
2008-01,Nova Scotia,electric utilities,hydraulic turbine,104090.0
2008-01,Nova Scotia,electric utilities,tidal power turbine,2417.0
2008-01,Nova Scotia,electric utilities,wind power turbine,11562.0
2008-01,Nova Scotia,industries,combustible fuels,19302.0
2008-01,Nova Scotia,industries,hydraulic turbine,3323.0
2008-01,Nova Scotia,industries,wind power turbine,0.0
2008-01,Nunavut,electric utilities,combustible fuels,14686.0
2008-01,Nunavut,electric utilities,hydraulic turbine,0.0
2008-01,Nunavut,industries,combustible fuels,0.0
2008-01,Nunavut,industries,hydraulic turbine,0.0
2008-01,Ontario,electric utilities,combustible fuels,3167890.0
2008-01,Ontario,electric utilities,hydraulic turbine,3253432.0
2008-01,Ontario,electric utilities,nuclear steam turbine,8129943.0
2008-01,Ontario,electric utilities,other types of electricity generation,0.0
2008-01,Ontario,electric utilities,solar,0.0
2008-01,Ontario,electric utilities,wind power turbine,49707.0
2008-01,Ontario,industries,combustible fuels,156771.0
2008-01,Ontario,industries,hydraulic turbine,112456.0
2008-01,Prince Edward Island,electric utilities,combustible fuels,-34.0
2008-01,Prince Edward Island,electric utilities,wind power turbine,11355.0
2008-01,Quebec,electric utilities,combustible fuels,128755.0
2008-01,Quebec,electric utilities,hydraulic turbine,16843688.0
2008-01,Quebec,electric utilities,nuclear steam turbine,425985.0
2008-01,Quebec,electric utilities,wind power turbine,43260.0
2008-01,Quebec,industries,combustible fuels,48252.0
2008-01,Quebec,industries,hydraulic turbine,1680168.0
2008-01,Saskatchewan,electric utilities,combustible fuels,1376787.0
2008-01,Saskatchewan,electric utilities,hydraulic turbine,367353.0
2008-01,Saskatchewan,electric utilities,other types of electricity generation,0.0
2008-01,Saskatchewan,electric utilities,wind power turbine,63792.0
2008-01,Saskatchewan,industries,combustible fuels,25494.0
2008-01,Saskatchewan,industries,hydraulic turbine,0.0
2008-01,Yukon,electric utilities,combustible fuels,1974.0
2008-01,Yukon,electric utilities,hydraulic turbine,36825.0
2008-01,Yukon,electric utilities,wind power turbine,0.0
2008-01,Yukon,industries,combustible fuels,0.0
2008-02,Alberta,electric utilities,combustible fuels,4263416.0
2008-02,Alberta,electric utilities,hydraulic turbine,118164.0
2008-02,Alberta,electric utilities,other types of electricity generation,0.0
2008-02,Alberta,electric utilities,wind power turbine,6174.0
2008-02,Alberta,industries,combustible fuels,488234.0
2008-02,British Columbia,electric utilities,combustible fuels,363466.0
2008-02,British Columbia,electric utilities,hydraulic turbine,4566145.0
2008-02,British Columbia,industries,combustible fuels,253153.0
2008-02,British Columbia,industries,hydraulic turbine,782541.0
2008-02,Manitoba,electric utilities,combustible fuels,70187.0
2008-02,Manitoba,electric utilities,hydraulic turbine,2825049.0
2008-02,Manitoba,electric utilities,wind power turbine,0.0
2008-02,Manitoba,industries,combustible fuels,8771.0
2008-02,New Brunswick,electric utilities,combustible fuels,843535.0
2008-02,New Brunswick,electric utilities,hydraulic turbine,200507.0
2008-02,New Brunswick,electric utilities,nuclear steam turbine,379945.0
2008-02,New Brunswick,electric utilities,wind power turbine,0.0
2008-02,New Brunswick,industries,combustible fuels,53506.0
2008-02,New Brunswick,industries,hydraulic turbine,0.0
2008-02,Newfoundland and Labrador,electric utilities,combustible fuels,183408.0
2008-02,Newfoundland and Labrador,electric utilities,hydraulic turbine,4300913.0
2008-02,Newfoundland and Labrador,electric utilities,wind power turbine,0.0
2008-02,Newfoundland and Labrador,industries,combustible fuels,28828.0
2008-02,Newfoundland and Labrador,industries,hydraulic turbine,52783.0
2008-02,Northwest Territories,electric utilities,combustible fuels,10409.0
2008-02,Northwest Territories,electric utilities,hydraulic turbine,17656.0
2008-02,Northwest Territories,industries,combustible fuels,32874.0
2008-02,Northwest Territories,industries,hydraulic turbine,0.0
2008-02,Northwest Territories,industries,wind power turbine,0.0
2008-02,Nova Scotia,electric utilities,combustible fuels,943850.0
2008-02,Nova Scotia,electric utilities,hydraulic turbine,117829.0
2008-02,Nova Scotia,electric utilities,tidal power turbine,1915.0
2008-02,Nova Scotia,electric utilities,wind power turbine,8809.0
2008-02,Nova Scotia,industries,combustible fuels,18465.0
2008-02,Nova Scotia,industries,hydraulic turbine,3320.0
2008-02,Nova Scotia,industries,wind power turbine,0.0
2008-02,Nunavut,electric utilities,combustible fuels,13731.0
2008-02,Nunavut,electric utilities,hydraulic turbine,0.0
2008-02,Nunavut,industries,combustible fuels,0.0
2008-02,Nunavut,industries,hydraulic turbine,0.0
2008-02,Ontario,electric utilities,combustible fuels,3439577.0
2008-02,Ontario,electric utilities,hydraulic turbine,3249411.0
2008-02,Ontario,electric utilities,nuclear steam turbine,6882095.0
2008-02,Ontario,electric utilities,other types of electricity generation,0.0
2008-02,Ontario,electric utilities,solar,0.0
2008-02,Ontario,electric utilities,wind power turbine,32744.0
2008-02,Ontario,industries,combustible fuels,139261.0
2008-02,Ontario,industries,hydraulic turbine,107808.0
2008-02,Prince Edward Island,electric utilities,combustible fuels,346.0
2008-02,Prince Edward Island,electric utilities,wind power turbine,9829.0
2008-02,Quebec,electric utilities,combustible fuels,102631.0
2008-02,Quebec,electric utilities,hydraulic turbine,17209349.0
2008-02,Quebec,electric utilities,nuclear steam turbine,353320.0
2008-02,Quebec,electric utilities,wind power turbine,41009.0
2008-02,Quebec,industries,combustible fuels,45413.0
2008-02,Quebec,industries,hydraulic turbine,1635464.0
2008-02,Saskatchewan,electric utilities,combustible fuels,1249668.0
2008-02,Saskatchewan,electric utilities,hydraulic turbine,333914.0
2008-02,Saskatchewan,electric utilities,other types of electricity generation,0.0
2008-02,Saskatchewan,electric utilities,wind power turbine,36110.0
2008-02,Saskatchewan,industries,combustible fuels,24561.0
2008-02,Saskatchewan,industries,hydraulic turbine,0.0
2008-02,Yukon,electric utilities,combustible fuels,2339.0
2008-02,Yukon,electric utilities,hydraulic turbine,32992.0
2008-02,Yukon,electric utilities,wind power turbine,0.0
2008-02,Yukon,industries,combustible fuels,0.0
2008-03,Alberta,electric utilities,combustible fuels,4401386.0
2008-03,Alberta,electric utilities,hydraulic turbine,138036.0
2008-03,Alberta,electric utilities,other types of electricity generation,0.0
2008-03,Alberta,electric utilities,wind power turbine,5983.0
2008-03,Alberta,industries,combustible fuels,538620.0
2008-03,British Columbia,electric utilities,combustible fuels,346268.0
2008-03,British Columbia,electric utilities,hydraulic turbine,4152325.0
2008-03,British Columbia,industries,combustible fuels,249932.0
2008-03,British Columbia,industries,hydraulic turbine,841596.0
2008-03,Manitoba,electric utilities,combustible fuels,66264.0
2008-03,Manitoba,electric utilities,hydraulic turbine,2766455.0
2008-03,Manitoba,electric utilities,wind power turbine,0.0
2008-03,Manitoba,industries,combustible fuels,8099.0
2008-03,New Brunswick,electric utilities,combustible fuels,823371.0
2008-03,New Brunswick,electric utilities,hydraulic turbine,174241.0
2008-03,New Brunswick,electric utilities,nuclear steam turbine,363409.0
2008-03,New Brunswick,electric utilities,wind power turbine,0.0
2008-03,New Brunswick,industries,combustible fuels,59711.0
2008-03,New Brunswick,industries,hydraulic turbine,0.0
2008-03,Newfoundland and Labrador,electric utilities,combustible fuels,145859.0
2008-03,Newfoundland and Labrador,electric utilities,hydraulic turbine,4569394.0
2008-03,Newfoundland and Labrador,electric utilities,wind power turbine,0.0
2008-03,Newfoundland and Labrador,industries,combustible fuels,23934.0
2008-03,Newfoundland and Labrador,industries,hydraulic turbine,58953.0
2008-03,Northwest Territories,electric utilities,combustible fuels,6809.0
2008-03,Northwest Territories,electric utilities,hydraulic turbine,20979.0
2008-03,Northwest Territories,industries,combustible fuels,33822.0
2008-03,Northwest Territories,industries,hydraulic turbine,0.0
2008-03,Northwest Territories,industries,wind power turbine,0.0
2008-03,Nova Scotia,electric utilities,combustible fuels,1004470.0
2008-03,Nova Scotia,electric utilities,hydraulic turbine,141423.0
2008-03,Nova Scotia,electric utilities,tidal power turbine,2473.0
2008-03,Nova Scotia,electric utilities,wind power turbine,11552.0
2008-03,Nova Scotia,industries,combustible fuels,18852.0
2008-03,Nova Scotia,industries,hydraulic turbine,3844.0
2008-03,Nova Scotia,industries,wind power turbine,0.0
2008-03,Nunavut,electric utilities,combustible fuels,14171.0
2008-03,Nunavut,electric utilities,hydraulic turbine,0.0
2008-03,Nunavut,industries,combustible fuels,0.0
2008-03,Nunavut,industries,hydraulic turbine,0.0
2008-03,Ontario,electric utilities,combustible fuels,3573764.0
2008-03,Ontario,electric utilities,hydraulic turbine,3409802.0
2008-03,Ontario,electric utilities,nuclear steam turbine,6437849.0
2008-03,Ontario,electric utilities,other types of electricity generation,0.0
2008-03,Ontario,electric utilities,solar,0.0
2008-03,Ontario,electric utilities,wind power turbine,44174.0
2008-03,Ontario,industries,combustible fuels,149449.0
2008-03,Ontario,industries,hydraulic turbine,108066.0
2008-03,Prince Edward Island,electric utilities,combustible fuels,-291.0
2008-03,Prince Edward Island,electric utilities,wind power turbine,9187.0
2008-03,Quebec,electric utilities,combustible fuels,104317.0
2008-03,Quebec,electric utilities,hydraulic turbine,16535207.0
2008-03,Quebec,electric utilities,nuclear steam turbine,459575.0
2008-03,Quebec,electric utilities,wind power turbine,39964.0
2008-03,Quebec,industries,combustible fuels,45279.0
2008-03,Quebec,industries,hydraulic turbine,1561438.0
2008-03,Saskatchewan,electric utilities,combustible fuels,1225342.0
2008-03,Saskatchewan,electric utilities,hydraulic turbine,274132.0
2008-03,Saskatchewan,electric utilities,other types of electricity generation,0.0
2008-03,Saskatchewan,electric utilities,wind power turbine,40967.0
2008-03,Saskatchewan,industries,combustible fuels,26209.0
2008-03,Saskatchewan,industries,hydraulic turbine,0.0
2008-03,Yukon,electric utilities,combustible fuels,2015.0
2008-03,Yukon,electric utilities,hydraulic turbine,30138.0
2008-03,Yukon,electric utilities,wind power turbine,25.0
2008-03,Yukon,industries,combustible fuels,0.0
2008-04,Alberta,electric utilities,combustible fuels,4079283.0
2008-04,Alberta,electric utilities,hydraulic turbine,109743.0
2008-04,Alberta,electric utilities,other types of electricity generation,0.0
2008-04,Alberta,electric utilities,wind power turbine,5752.0
2008-04,Alberta,industries,combustible fuels,481967.0
2008-04,British Columbia,electric utilities,combustible fuels,356777.0
2008-04,British Columbia,electric utilities,hydraulic turbine,3644280.0
2008-04,British Columbia,industries,combustible fuels,260569.0
2008-04,British Columbia,industries,hydraulic turbine,838905.0
2008-04,Manitoba,electric utilities,combustible fuels,42534.0
2008-04,Manitoba,electric utilities,hydraulic turbine,2683886.0
2008-04,Manitoba,electric utilities,wind power turbine,0.0
2008-04,Manitoba,industries,combustible fuels,11072.0
2008-04,New Brunswick,electric utilities,combustible fuels,663514.0
2008-04,New Brunswick,electric utilities,hydraulic turbine,420699.0
2008-04,New Brunswick,electric utilities,nuclear steam turbine,0.0
2008-04,New Brunswick,electric utilities,wind power turbine,0.0
2008-04,New Brunswick,industries,combustible fuels,46910.0
2008-04,New Brunswick,industries,hydraulic turbine,0.0
2008-04,Newfoundland and Labrador,electric utilities,combustible fuels,107078.0
2008-04,Newfoundland and Labrador,electric utilities,hydraulic turbine,3456041.0
2008-04,Newfoundland and Labrador,electric utilities,wind power turbine,0.0
2008-04,Newfoundland and Labrador,industries,combustible fuels,23809.0
2008-04,Newfoundland and Labrador,industries,hydraulic turbine,62968.0
2008-04,Northwest Territories,electric utilities,combustible fuels,5382.0
2008-04,Northwest Territories,electric utilities,hydraulic turbine,17995.0
2008-04,Northwest Territories,industries,combustible fuels,32203.0
2008-04,Northwest Territories,industries,hydraulic turbine,0.0
2008-04,Northwest Territories,industries,wind power turbine,0.0
2008-04,Nova Scotia,electric utilities,combustible fuels,887335.0
2008-04,Nova Scotia,electric utilities,hydraulic turbine,106465.0
2008-04,Nova Scotia,electric utilities,tidal power turbine,2447.0
2008-04,Nova Scotia,electric utilities,wind power turbine,7582.0
2008-04,Nova Scotia,industries,combustible fuels,19190.0
2008-04,Nova Scotia,industries,hydraulic turbine,3613.0
2008-04,Nova Scotia,industries,wind power turbine,0.0
2008-04,Nunavut,electric utilities,combustible fuels,12732.0
2008-04,Nunavut,electric utilities,hydraulic turbine,0.0
2008-04,Nunavut,industries,combustible fuels,0.0
2008-04,Nunavut,industries,hydraulic turbine,0.0
2008-04,Ontario,electric utilities,combustible fuels,2619376.0
2008-04,Ontario,electric utilities,hydraulic turbine,3651383.0
2008-04,Ontario,electric utilities,nuclear steam turbine,6122031.0
2008-04,Ontario,electric utilities,other types of electricity generation,0.0
2008-04,Ontario,electric utilities,solar,0.0
